Date,AAPL,AMZN,BAC,COP,CVX,DIA,GS,HD,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,UNH,WMT,XLE,XLF,XLK,XLP,XLV,XLY,XOM
2026-02-25,273.74151611328125,210.63999938964844,51.133750915527344,108.47496795654297,180.96865844726562,491.3823547363281,912.53466796875,370.2983093261719,243.76808166503906,300.40240478515625,79.40779113769531,398.9831237792969,195.32176208496094,26.191896438598633,160.9672393798828,615.227294921875,689.4859008789062,417.3999938964844,280.40606689453125,124.95427703857422,54.12349319458008,51.42459487915039,142.66229248046875,87.9018783569336,156.49365234375,116.62286376953125,147.10256958007812
2026-02-26,272.4637756347656,207.9199981689453,51.73719024658203,109.15532684326172,180.90972900390625,491.42205810546875,920.0814819335938,369.82501220703125,242.0778045654297,303.20538330078125,79.43739318847656,400.0986022949219,184.66476440429688,26.201562881469727,161.3218994140625,607.8048095703125,685.6561889648438,408.5799865722656,282.8332214355469,123.6326904296875,54.301048278808594,52.0491828918457,140.6671600341797,87.75374603271484,156.0871124267578,116.5830307006836,146.5894012451172
2026-02-27,263.70941162109375,210.0,49.29376983642578,111.87682342529297,183.46383666992188,486.2581787109375,851.3180541992188,375.3760070800781,247.00942993164062,297.4310607910156,80.48339080810547,391.15484619140625,176.97415161132812,26.73332977294922,164.72073364257812,605.8594360351562,682.3637084960938,402.510009765625,289.3549499511719,127.14035034179688,55.15920639038086,50.988372802734375,138.42262268066406,88.8894271850586,158.84356689453125,116.39378356933594,150.4973907470703
2026-03-02,264.2484130859375,208.38999938964844,49.273983001708984,116.59011840820312,186.25372314453125,485.7815246582031,857.9190063476562,365.6051025390625,247.13868713378906,294.7172546386719,79.16108703613281,396.9413757324219,182.25770568847656,26.356258392333984,161.08546447753906,606.6575317382812,682.751708984375,403.32000732421875,290.9928283691406,126.29573059082031,56.26397705078125,50.8594856262207,139.2007293701172,87.6056137084961,157.18771362304688,114.95952606201172,152.19480895996094
2026-03-03,263.2801818847656,208.72999572753906,49.4322624206543,116.8662109375,185.4383544921875,482.1469421386719,858.795166015625,361.76971435546875,245.3390350341797,297.3914489746094,78.2927017211914,402.2996826171875,179.83065795898438,25.698802947998047,157.35165405273438,600.162841796875,676.7337036132812,392.42999267578125,285.34918212890625,127.1006088256836,55.75104522705078,50.770259857177734,137.1656951904297,86.6476821899414,155.4128875732422,113.90375518798828,149.83619689941406
2026-03-04,262.0523376464844,216.82000732421875,49.75871276855469,114.03626251220703,182.74671936035156,484.3515319824219,863.4446411132812,363.928955078125,243.8973388671875,296.52978515625,77.06907653808594,403.5645751953125,182.8170166015625,25.737478256225586,155.95272827148438,609.3112182617188,681.5082397460938,405.94000244140625,288.06243896484375,127.00123596191406,55.425537109375,51.057769775390625,139.5,86.07491302490234,155.7202606201172,115.9256591796875,147.85260009765625
2026-03-05,259.8263244628906,218.94000244140625,49.273983001708984,115.18994140625,186.54840087890625,476.50640869140625,831.7941284179688,356.603271484375,238.259765625,290.74554443359375,76.01319122314453,409.0224304199219,183.11663818359375,25.727807998657227,151.70663452148438,607.4755859375,677.70849609375,405.54998779296875,284.9150390625,122.52970886230469,55.71158981323242,50.79009246826172,139.83917236328125,84.3467025756836,152.60684204101562,116.08502960205078,148.78024291992188
2026-03-06,257.0013427734375,213.2100067138672,48.38858413696289,115.43644714355469,186.5877227783203,471.9284362792969,817.8157348632812,352.89605712890625,239.0253448486328,286.7144470214844,76.02306365966797,407.30938720703125,177.6033935546875,26.153221130371094,151.3519744873047,598.337158203125,668.82568359375,396.7300109863281,282.6556396484375,123.0166244506836,55.80036544799805,50.1357536315918,136.95620727539062,84.71208190917969,151.40708923339844,113.98344421386719,149.22434997558594
2026-03-09,259.41705322265625,213.49000549316406,47.652408599853516,115.39700317382812,186.09652709960938,474.55999755859375,828.3792114257812,348.59722900390625,241.20281982421875,287.1502685546875,76.77303314208984,407.757568359375,182.427490234375,25.92117691040039,152.9183807373047,606.3283081054688,674.6845703125,398.67999267578125,283.550537109375,123.55319213867188,55.553768157958984,49.89781951904297,139.42019653320312,84.89972686767578,152.95387268066406,114.13284301757812,148.46446228027344
2026-03-10,260.3653564453125,214.3300018310547,48.308998107910156,112.55719757080078,183.0021209716797,474.38128662109375,830.1513671875,352.1368103027344,242.31643676757812,285.97161865234375,76.85197448730469,404.122314453125,184.54490661621094,26.25957489013672,153.69667053222656,606.3383178710938,673.6002807617188,399.239990234375,280.736572265625,124.32826232910156,54.843563079833984,49.6301383972168,139.42019653320312,84.65283203125,151.853271484375,113.98344421386719,146.18479919433594
2026-03-11,260.34539794921875,212.64999389648438,48.269203186035156,115.39700317382812,188.40505981445312,471.5113525390625,820.1454467773438,345.9154357910156,241.6005401611328,284.77313232421875,76.60527801513672,403.245849609375,185.8134307861328,26.394933700561523,151.04656982421875,606.2584228515625,672.7548217773438,407.82000732421875,283.63006591796875,122.70858001708984,56.20479202270508,49.2137451171875,140.08856201171875,83.53689575195312,151.55581665039062,113.68463897705078,149.5894775390625
2026-03-12,255.3043975830078,209.52999877929688,46.886390686035156,118.58193969726562,193.49363708496094,464.2323303222656,784.0645141601562,336.40673828125,240.6559600830078,280.1874084472656,76.58554077148438,400.238037109375,182.9268035888672,25.969520568847656,148.26837158203125,595.85302734375,662.5390625,395.010009765625,275.47662353515625,124.53693389892578,56.727577209472656,48.410701751708984,137.50486755371094,83.20113372802734,148.8885955810547,111.07508850097656,151.5138702392578
2026-03-13,249.6744384765625,207.6699981689453,46.47850799560547,120.18919372558594,193.34629821777344,463.16973876953125,778.7777709960938,336.5059814453125,240.13894653320312,280.7321472167969,76.8438720703125,393.9534912109375,180.0401611328125,25.698802947998047,148.41615295410156,592.3213500976562,658.7890014648438,391.20001220703125,280.4880065917969,125.71939086914062,56.91499328613281,48.470184326171875,136.4674072265625,83.68502807617188,148.52171325683594,110.417724609375,154.06985473632812
2026-03-16,252.36964416503906,211.74000549316406,46.81675338745117,119.62714385986328,193.3659210205078,467.0326232910156,791.2826538085938,340.029541015625,241.7993927001953,283.4261474609375,77.32079315185547,398.33575439453125,183.0067138671875,25.727807998657227,149.86434936523438,598.9656982421875,665.493408203125,395.55999755859375,283.8686828613281,125.1927490234375,57.112274169921875,48.87666320800781,138.44259643554688,83.92205047607422,149.73138427734375,111.75236511230469,155.165283203125
2026-03-17,253.77711486816406,215.1999969482422,47.035614013671875,121.155517578125,194.4759979248047,467.6285095214844,803.498779296875,338.88812255859375,236.74844360351562,284.1492004394531,77.08233642578125,397.79791259765625,181.71820068359375,26.539960861206055,149.2338409423828,601.8887939453125,667.2440185546875,399.2699890136719,285.9368896484375,124.28851318359375,57.71397399902344,49.13443374633789,139.2007293701172,83.6455307006836,148.3730010986328,112.72846221923828,156.7245330810547
2026-03-18,249.49476623535156,209.8699951171875,46.58794021606445,121.92463684082031,195.1046905517578,459.7834167480469,801.9456787109375,328.4662780761719,235.92318725585938,284.9910583496094,75.48265838623047,390.2087097167969,180.1899871826172,26.414268493652344,144.53457641601562,593.4986572265625,657.9335327148438,392.7799987792969,282.71527099609375,121.2081298828125,57.63506317138672,48.54949951171875,137.62457275390625,81.61117553710938,145.89414978027344,110.12887573242188,155.5205535888672
2026-03-19,248.5165252685547,208.75999450683594,46.767005920410156,124.26155853271484,197.88473510742188,457.85687255859375,805.9480590820312,325.76654052734375,236.24136352539062,285.2188415527344,75.06536102294922,387.4498596191406,178.3521270751953,26.501285552978516,142.69229125976562,591.623046875,656.3121948242188,380.29998779296875,278.8473815917969,120.32376098632812,58.55241012573242,48.5693244934082,138.0934295654297,80.94951629638672,145.36865234375,109.26234436035156,156.0830841064453
2026-03-20,247.54823303222656,205.3699951171875,46.91623306274414,125.14900207519531,198.16961669921875,453.700927734375,809.9603881835938,318.3620910644531,234.02410888671875,283.8223571777344,74.2704849243164,380.3287353515625,172.4989471435547,26.07587242126465,142.14060974121094,580.6888427734375,646.9034423828125,367.9599914550781,274.0249328613281,118.50957489013672,58.50309371948242,48.65855407714844,134.96107482910156,80.27798461914062,144.0994873046875,107.31016540527344,157.5732421875
2026-03-23,251.04200744628906,210.13999938964844,47.27437210083008,125.41523742675781,201.5882110595703,459.75177001953125,827.6224975585938,328.4365234375,234.07382202148438,287.14031982421875,74.62818145751953,381.4541931152344,175.43553161621094,25.882503509521484,141.85491943359375,587.3545532226562,653.6959228515625,380.8500061035156,268.00927734375,120.2022933959961,59.203041076660156,49.0980110168457,136.78689575195312,80.62060546875,144.13433837890625,109.90100860595703,159.0140838623047
2026-03-24,251.1917266845703,207.24000549316406,47.89116668701172,127.54510498046875,203.14031982421875,458.9555969238281,832.052978515625,328.4464416503906,233.9246826171875,289.6065368652344,74.19100189208984,371.2355651855469,174.99603271484375,26.066204071044922,141.03721618652344,583.3389282226562,651.5015869140625,383.0299987792969,270.73370361328125,121.5265884399414,60.40437698364258,49.107975006103516,135.9878387451172,80.55108642578125,144.15423583984375,109.46187591552734,163.20826721191406
2026-03-25,252.16998291015625,211.7100067138672,48.498016357421875,127.13095092773438,201.52926635742188,461.9113464355469,838.1461791992188,330.0345458984375,238.5580291748047,292.59771728515625,74.76728057861328,369.5424499511719,178.47198486328125,26.37559700012207,141.78594970703125,587.1747436523438,655.1322021484375,385.95001220703125,269.0135192871094,122.5322494506836,60.13631057739258,49.16776657104492,136.5971221923828,80.94833374023438,145.59788513183594,110.50979614257812,161.11610412597656
2026-03-26,252.43951416015625,207.5399932861328,47.99065399169922,131.3906707763672,204.12266540527344,457.10455322265625,819.0303955078125,325.9848937988281,237.8719940185547,288.8736267089844,74.21087646484375,364.492919921875,171.04066467285156,26.655982971191406,140.30819702148438,573.1600952148438,643.432373046875,372.1099853515625,266.5277404785156,121.6560287475586,61.07950973510742,48.87877655029297,132.34219360351562,80.58087921142578,145.10008239746094,108.61357116699219,163.25759887695312
2026-03-27,248.35679626464844,199.33999633789062,46.72721862792969,131.93299865722656,207.42337036132812,449.2225646972656,799.3670654296875,319.25537109375,239.07505798339844,280.13787841796875,75.22432708740234,355.33001708984375,167.32498168945312,26.143552780151367,140.59390258789062,561.9624633789062,632.4606323242188,361.8299865722656,257.54901123046875,122.36298370361328,62.112064361572266,47.64310836791992,129.76527404785156,81.21646881103516,142.63095092773438,105.46983337402344,168.74459838867188
2026-03-30,246.19065856933594,200.9499969482422,46.985870361328125,131.0356903076172,206.9911346435547,449.88934326171875,804.0563354492188,321.09161376953125,241.10340881347656,281.0589904785156,75.78073120117188,357.51116943359375,164.97772216796875,26.84935188293457,142.57408142089844,557.6671752929688,630.3460693359375,355.2799987792969,260.3033142089844,122.97036743164062,61.516357421875,48.19118881225586,127.34815216064453,81.31578063964844,143.18850708007812,105.44987487792969,169.21829223632812
2026-03-31,253.33790588378906,208.27000427246094,48.498016357421875,130.1581268310547,203.24838256835938,460.96588134765625,842.2778930664062,326.4414978027344,243.04225158691406,291.3497314453125,75.56214904785156,368.67596435546875,174.1969757080078,27.149072647094727,142.29823303222656,576.54638671875,648.6688842773438,371.75,269.0533142089844,123.74702453613281,60.82136917114258,49.197662353515625,132.74171447753906,81.41510009765625,145.96624755859375,108.76327514648438,167.4320526123047
